name,first_name,last_name,prefix,screen_name,company,url,facebook,twitter,instagram,google,youtube
Dr. Judy Wood,Judy,Wood,Dr. ,,,http://www.drjudywood.com/,,,,,https://www.youtube.com/watch?v=vadSaWyiozg
Architects & Engineers for 9/11 Truth ,,Architects & Engineers for 9/11 Truth ,,,Architects & Engineers for 9/11 Truth ,http://www.ae911truth.org/,https://www.facebook.com/ae911truth,https://twitter.com/AE911Truth,https://www.instagram.com/ae911truth_501c3/,,https://www.youtube.com/user/ae911truth/videosUCQArDd3ybp7wm37TTmKu9Wg
Aaron & Melissa Dykes,Aaron & Melissa,Dykes,,,Truth Stream Media,http://truthstreammedia.com/,,,,,https://www.youtube.com/channel/UCVEaFSr-jdTa_QE4PPSkVJw
Jacque Fresco,Jacque,Fresco,,,The Venus Project,https://www.thevenusproject.com/,,,,,
Ted Gunderson,Ted,Gunderson,,,,https://www.youtube.com/watch?v=3EBowBPwNW4&feature=youtu.be,,,,,
Graham Hancock,Graham,Hancock,,,,http://grahamhancock.com/,https://www.facebook.com/Author.GrahamHancock,https://twitter.com/Graham__Hancock,,https://plus.google.com/u/0/+grahamhancock,https://www.youtube.com/channel/UCk_foUwmaHeFhmAZMnEHQsw
Nassim Haramein,Nassim,Haramein,,,Resonance Science Foundation,https://resonance.is/,,,,,https://www.youtube.com/user/ResonanceIS/
Ph.D. Joe Marshalla,Joe,Marshalla,Ph.D. ,,Repeatlessness,,,,,,https://www.youtube.com/watch?v=127BR5b8Hm4
Mark Passio,Mark,Passio,,,,http://www.WhatOnEarthIsHappening.com,,,,,https://www.youtube.com/channel/UCTqcKb3T1QVbOHT8LIFs3xg
ReThink911,,ReThink911,,,ReThink911,http://rethink911.org/,https://www.facebook.com/Rethink911,https://twitter.com/ReThink911org,,,
Michael Tellinger,Michael,Tellinger,,,UBUNTU Liberation Movement,http://michaeltellinger.com/,https://www.facebook.com/michaeltellinger/,https://twitter.com/ubuntumichael,,,https://www.youtube.com/user/Michaeltellinger
Nikola Tesla,Nikola,Tesla,,,,https://en.wikipedia.org/wiki/Nikola_Tesla,,,,,
Thrive Movement,,Thrive Movement,,,Thrive Movement,http://www.thrivemovement.com/,,,,,https://www.youtube.com/channel/UCMffZS4_Fp-e-xG1u1IXoNg
Alan Watts,Alan,Watts,,,,https://www.alanwatts.org/,,,,,https://www.youtube.com/watch?v=khOaAHK7efc
